"type","value","source"
"domain","ithostprotocol.com","Mandiant"
"domain","itselfstorage.com","Mandiant"
"domain","ivermectint.com","Mandiant"
"domain","janeairintroduction.com","Mandiant"
"domain","jeredutech.com","Mandiant"
"domain","jobsgrip.com","Mandiant"
"domain","johnysadventure.com","Mandiant"
"domain","judicialliquidators.com","Mandiant"
"domain","justapple.net","Mandiant"
"domain","kasterlyx.com","Mandiant"
"domain","keeperdatastorage.com","Mandiant"
"domain","keeperdocument.com","Mandiant"
"domain","keeperdocumentgatewayhub.com","Mandiant"
"domain","keeperdocumentllc.com","Mandiant"
"domain","keeperinformation.com","Mandiant"
"domain","keepinformationroot.com","Mandiant"
"domain","keepitlabgroup.com","Mandiant"
"domain","keydatastorageunit.com","Mandiant"
"domain","keyservicebar.com","Mandiant"
"domain","keysvalmodule.net","Mandiant"
"domain","keyvaluepassin.net","Mandiant"
"domain","krakfish.com","Mandiant"
"domain","krystaleshop.com","Mandiant"
"domain","kwargsdirgrid.com","Mandiant"
"domain","lacedirectory.net","Mandiant"
"domain","lamiakin.com","Mandiant"
"domain","land-of-service.com","Mandiant"
"domain","lawsystemjudgement.com","Mandiant"
"domain","lawwardensafety.com","Mandiant"
"domain","layintotruncate.com","Mandiant"
"domain","lazyprotype.com","Mandiant"
"domain","leaseselfid.com","Mandiant"
"domain","leviathanfish.com","Mandiant"
"domain","limytd.net","Mandiant"
"domain","literallyandme.com","Mandiant"
"domain","livingmytruth.org","Mandiant"
"domain","livonereg.com","Mandiant"
"domain","lockingthedoor.com","Mandiant"
"domain","logincontrolway.com","Mandiant"
"domain","loginformationbreakthrough.com","Mandiant"
"domain","loginintroway.com","Mandiant"
"domain","londonshowcorp.com","Mandiant"
"domain","machinelearnpy.org","Mandiant"
"domain","machinerelise.com","Mandiant"
"domain","machineviewers.com","Mandiant"
"domain","mail-docs.online","Mandiant"
"domain","mailarmymil.com","Mandiant"
"domain","managercodepro.com","Mandiant"
"domain","marungame.com","Mandiant"
"domain","mashelterssettlement.com","Mandiant"
"domain","matalangit.org","Mandiant"
"domain","maxintrosec.com","Mandiant"
"domain","maxlliance.com","Mandiant"
"domain","medabiosis.com","Mandiant"
"domain","medicoutpatient.com","Mandiant"
"domain","medicprognosis.com","Mandiant"
"domain","meenalabels.com","Mandiant"
"domain","memehall.org","Mandiant"
"domain","menubarwidget.com","Mandiant"
"domain","mereehign.com","Mandiant"
"domain","meta-violationcontact.com","Mandiant"
"domain","microbioeng.org","Mandiant"
"domain","mintwithapples.com","Mandiant"
"domain","missiondecarbonise.com","Mandiant"
"domain","mobislimited.com","Mandiant"
"domain","mohioconsulting.com","Mandiant"
"domain","molecengsys.org","Mandiant"
"domain","movercon.com","Mandiant"
"domain","msghandlerconfig.com","Mandiant"
"domain","mtgcgroup.org","Mandiant"
"domain","myavtsim.com","Mandiant"
"domain","mycloudcomputingappservices.com","Mandiant"
"domain","myflyairways.com","Mandiant"
"domain","myitappnext.com","Mandiant"
"domain","myittechnext.com","Mandiant"
"domain","myposcheck.com","Mandiant"
"domain","mysplre.org","Mandiant"
"domain","natalyincity.com","Mandiant"
"domain","network-storage-ltd.com","Mandiant"
"domain","networkgoin.com","Mandiant"
"domain","newestchairs.com","Mandiant"
"domain","newtransfersearch.com","Mandiant"
"domain","nextgenexp.com","Mandiant"
"domain","nextgenprotocol.org","Mandiant"
"domain","nextgenscloud.com","Mandiant"
"domain","nitandecidida.com","Mandiant"
"domain","nonviolent-conflict-service.com","Mandiant"
"domain","nonviolent-conflict-storage.com","Mandiant"
"domain","nourafayoumi.com","Mandiant"
"domain","nqcorporate.com","Mandiant"
"domain","nutritivoybarato.com","Mandiant"
"domain","objectwidgetfont.org","Mandiant"
"domain","offgates.com","Mandiant"
"domain","office-protection.online","Mandiant"
"domain","office365-online.live","Mandiant"
"domain","okpushitem.org","Mandiant"
"domain","olohaisland.com","Mandiant"
"domain","ommahat.net","Mandiant"
"domain","omorien.net","Mandiant"
"domain","onestorageprotectordirect.com","Mandiant"
"domain","online-document.live","Mandiant"
"domain","online-storage.live","Mandiant"
